0.00796672 -0.00200104 0.00050026 -0.00199168 -0.00199168 0.00050026 -0.000125065 0.000497919 0.00397711 -0.00100052 -0.000994276 0.00398335 0.00398335 -0.00100052 0.000250129 -0.000995836 -0.000994276 0.000250129 0.000248569 -0.000995836 0.00198855 0.00198855 -0.000500258 -0.000497137 0.00199167 -0.000497137 0.000994272        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 0.000519076 0.000103298 -7.23687e-08 -1.90167e-07 -1.90167e-07 -7.23687e-08 -2.75286e-21 -2.06729e-20 
-0.00200104 0.00804163 -0.0020104 0.00050026 0.00050026 -0.0020104 0.0005026 -0.000125065 0.00402705 0.0040208 -0.00100676 -0.00100052 -0.00100052 0.0040208 -0.0010052 0.000250129 -0.00100676 -0.0010052 0.00025169 0.000250129 0.00201352 0.00201352 0.0020104 -0.000503379 -0.000500258 -0.000503379 0.00100676        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 -0.000103695 -0.000519074 3.88783e-07 7.23687e-08 7.23687e-08 3.88783e-07 -9.31736e-21 -3.17637e-21 
0.00050026 -0.0020104 0.00804163 -0.00200104 -0.000125065 0.0005026 -0.0020104 0.00050026 -0.00100676 0.0040208 0.00402705 -0.00100052 0.000250129 -0.0010052 0.0040208 -0.00100052 0.00025169 -0.0010052 -0.00100676 0.000250129 0.00201352 -0.000503379 0.0020104 0.00201352 -0.000500258 -0.000503379 0.00100676        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 7.23687e-08 3.88783e-07 -0.000519074 -0.000103695 6.24687e-21 1.77877e-20 3.88783e-07 7.23687e-08 
-0.00199168 0.00050026 -0.00200104 0.00796672 0.000497919 -0.000125065 0.00050026 -0.00199168 -0.000994276 -0.00100052 0.00397711 0.00398335 -0.000995836 0.000250129 -0.00100052 0.00398335 0.000248569 0.000250129 -0.000994276 -0.000995836 0.00198855 -0.000497137 -0.000500258 0.00198855 0.00199167 -0.000497137 0.000994272        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 -1.90167e-07 -7.23687e-08 0.000103298 0.000519076 9.76735e-21 1.05879e-21 -7.23687e-08 -1.90167e-07 
-0.00199168 0.00050026 -0.000125065 0.000497919 0.00796672 -0.00200104 0.00050026 -0.00199168 -0.000994276 0.000250129 0.000248569 -0.000995836 0.00398335 -0.00100052 0.000250129 -0.000995836 0.00397711 -0.00100052 -0.000994276 0.00398335 -0.000497137 0.00198855 -0.000500258 -0.000497137 0.00199167 0.00198855 0.000994272        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 -1.90167e-07 -7.23687e-08 1.48231e-21 1.3976e-20 0.000519076 0.000103298 -7.23687e-08 -1.90167e-07 
0.00050026 -0.0020104 0.0005026 -0.000125065 -0.00200104 0.00804163 -0.0020104 0.00050026 -0.00100676 -0.0010052 0.00025169 0.000250129 -0.00100052 0.0040208 -0.0010052 0.000250129 0.00402705 0.0040208 -0.00100676 -0.00100052 -0.000503379 0.00201352 0.0020104 -0.000503379 -0.000500258 0.00201352 0.00100676        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 7.23687e-08 3.88783e-07 1.60936e-20 4.65868e-21 -0.000103695 -0.000519074 3.88783e-07 7.23687e-08 
-0.000125065 0.0005026 -0.0020104 0.00050026 0.00050026 -0.0020104 0.00804163 -0.00200104 0.00025169 -0.0010052 -0.00100676 0.000250129 0.000250129 -0.0010052 0.0040208 -0.00100052 -0.00100676 0.0040208 0.00402705 -0.00100052 -0.000503379 -0.000503379 0.0020104 0.00201352 -0.000500258 0.00201352 0.00100676        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 -7.30566e-21 -2.11758e-20 3.88783e-07 7.23687e-08 7.23687e-08 3.88783e-07 -0.000519074 -0.000103695 
0.000497919 -0.000125065 0.00050026 -0.00199168 -0.00199168 0.00050026 -0.00200104 0.00796672 0.000248569 0.000250129 -0.000994276 -0.000995836 -0.000995836 0.000250129 -0.00100052 0.00398335 -0.000994276 -0.00100052 0.00397711 0.00398335 -0.000497137 -0.000497137 -0.000500258 0.00198855 0.00199167 0.00198855 0.000994272        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 -8.54974e-21 8.47033e-22 -7.23687e-08 -1.90167e-07 -1.90167e-07 -7.23687e-08 0.000103298 0.000519076 
0.00397711 0.00402705 -0.00100676 -0.000994276 -0.000994276 -0.00100676 0.00025169 0.000248569 0.031961 0.00201352 -0.00799024 0.00198855 0.00198855 0.00201352 -0.000503379 -0.000497137 -0.00799024 -0.000503379 0.00199756 -0.000497137 0.0159805 0.0159805 0.00100676 -0.00399511 0.000994272 -0.00399511 0.00799021        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 -0.000415767 0.000419731 3.42932e-07 5.34575e-08 5.34575e-08 3.42932e-07 1.01644e-20 5.92923e-21 
-0.00100052 0.0040208 0.0040208 -0.00100052 0.000250129 -0.0010052 -0.0010052 0.000250129 0.00201352 0.0321567 0.00201352 -0.00800419 -0.000500258 0.0020104 0.0020104 -0.000500258 -0.000503379 -0.00803916 -0.000503379 0.00200105 0.0161016 0.00100676 0.0160783 0.00100676 -0.00400209 -0.0040254 0.00805078        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 -0.000208112 -0.00104203 -0.00104203 -0.000208112 1.45423e-07 7.81771e-07 7.81771e-07 1.45423e-07 
